concept_name|R1H_Days_of_Supply_95%|R1L_days of supply too lowDays_of_Supply_05%|R2H_Refils_95%|R3H_Quanitiy_of_Service_95%|R3L_Quanitiy_of_Service_05%|clinical drug concept_id|concept_code|R1H_Jitter|R1L_Jiter|R2H_Jitter|R3H_Jitter|R3L_Jitter
Clotrimazole 10 MG/ML Topical Spray|15|15|0|60|60|1000734|358371|20|10|5|66|54
1 ML Granisetron 0.1 MG/ML Injection|14|1|0|10|1|1000798|543218|19|-4|5|11|0.9
Coal Tar 75 MG/ML Topical Lotion|30|30|0|177|177|1001358|427689|35|25|5|194.7|159.3
Stannous Fluoride 0.004 MG/MG Oral Gel|61|15|6|122|122|1036095|237847|66|10|11|134.2|109.8
Sucralfate 100 MG/ML Oral Suspension|31|6|7|1260|180|1036232|313123|36|1|12|1386|162
Sucralfate 1000 MG Oral Tablet|90|8|6|270|28|1036233|314234|95|3|11|297|25.2
Lidocaine 70 MG / Tetracaine 70 MG Medicated Patch|30|5|8|120|10|1036941|644287|35|0|13|132|9
dronabinol 10 MG Oral Capsule|30|14|4|120|28|1037006|197634|35|9|9|132|25.2
dronabinol 2.5 MG Oral Capsule|30|7|4|90|14|1037007|197635|35|2|9|99|12.6
dronabinol 5 MG Oral Capsule|30|10|4|120|14|1037008|197636|35|5|9|132|12.6
Colchicine 0.6 MG Oral Tablet|90|3|5|90|5|1101556|197541|95|-2|10|99|4.5
Tolmetin 400 MG Oral Capsule|90|10|5|270|20|1102920|198296|95|5|10|297|18
Tolmetin 600 MG Oral Tablet|90|10|5|270|25|1102921|198297|95|5|10|297|22.5
24 HR tramadol hydrochloride 200 MG Extended Release Oral Tablet|90|28|3|90|28|1103351|833711|95|23|8|99|25.2
24 HR tramadol hydrochloride 300 MG Extended Release Oral Tablet|90|28|3|90|28|1103353|833713|95|23|8|99|25.2
Acetaminophen 325 MG / tramadol hydrochloride 37.5 MG Oral Tablet|33|3|3|180|16|1103359|836395|38|-2|8|198|14.4
Loratadine 10 MG Oral Tablet|90|14|9|90|14|1107882|311372|95|9|14|99|12.6
Loratadine 10 MG Disintegrating Oral Tablet|90|20|13|90|19|1107883|311373|95|15|18|99|17.1
Loratadine 1 MG/ML Oral Solution|30|5|7|310|60|1107927|692783|35|0|12|341|54
Loratadine 10 MG Oral Capsule|90|28|7|90|28|1107966|828269|95|23|12|99|25.2
arformoterol 0.0075 MG/ML Inhalation Solution|30|7|11|120|28|1111242|668956|35|2|16|132|25.2
zafirlukast 20 MG Oral Tablet|90|30|7|180|30|1111707|199655|95|25|12|198|27
zafirlukast 10 MG Oral Tablet|90|28|6|180|30|1111710|313758|95|23|11|198|27
Aspirin 300 MG Rectal Suppository|30|10|1|36|10|1112839|198464|35|5|6|39.6|9
Aspirin 325 MG Delayed Release Oral Tablet|90|14|13|90|14|1112892|198467|95|9|18|99|12.6
Aspirin 500 MG Oral Tablet|28|28|13|84|28|1112896|198471|33|23|18|92.4|25.2
200 ACTUAT Ipratropium Bromide 0.017 MG/ACTUAT Metered Dose Inhaler|90|17|6|38.7|12.9|1113041|836343|95|12|11|42.57|11.61
Ipratropium Bromide 0.2 MG/ML Inhalation Solution|30|4|15|250|62.5|1113076|836358|35|-1|20|275|56.25
Aspirin 81 MG Chewable Tablet|90|7|13|90|7|1113346|318272|95|2|18|99|6.3
nabumetone 500 MG Oral Tablet|90|10|4|180|20|1113672|311892|95|5|9|198|18
nabumetone 750 MG Oral Tablet|90|12|4|180|20|1113673|311893|95|7|9|198|18
Aspirin 325 MG / Oxycodone Hydrochloride 4.84 MG Oral Tablet|30|5|0|200|20|1113731|848768|35|0|5|220|18
0.67 ML anakinra 149 MG/ML Prefilled Syringe|28|28|9|56.28|9.38|1114379|727711|33|23|14|61.908|8.442
Auranofin 3 MG Oral Capsule|90|14|7|180|16|1114803|197386|95|9|12|198|14.4
Naproxen 25 MG/ML Oral Suspension|33|5|6|1200|120|1115066|311913|38|0|11|1320|108
Naproxen 500 MG Delayed Release Oral Tablet|90|10|4|180|20|1115067|311915|95|5|9|198|18
Naproxen sodium 275 MG Oral Tablet|90|5|4|180|14|1115126|849398|95|0|9|198|12.6
Naproxen sodium 550 MG Oral Tablet|90|6|4|180|12|1115129|849431|95|1|9|198|10.8
Naproxen sodium 220 MG Oral Tablet|90|25|5|300|30|1115171|849574|95|20|10|330|27
zolmitriptan 5 MG Disintegrating Oral Tablet|90|3|7|30|6|1116080|351134|95|-2|12|33|5.4
oxaprozin 600 MG Oral Tablet|90|15|5|180|30|1118047|312132|95|10|10|198|27
celecoxib 400 MG Oral Capsule|90|12|5|120|28|1118091|349514|95|7|10|132|25.2
celecoxib 50 MG Oral Capsule|90|14|5|180|14|1118115|686379|95|9|10|198|12.6
naratriptan 1 MG Oral Tablet|40|4|5|27|6|1118120|311918|45|-1|10|29.7|5.4
naratriptan 2.5 MG Oral Tablet|84|5|6|27|8|1118121|314135|89|0|11|29.7|7.2
0.4 ML adalimumab 50 MG/ML Prefilled Syringe|84|28|8.5|8|2|1119154|763564|89|23|13.5|8.8|1.8
Dextromethorphan 1 MG/ML / Phenylephrine 0.5 MG/ML Oral Solution|8|5|1|150|70|1121646|692768|13|0|6|165|63
Acetaminophen 325 MG / butalbital 50 MG Oral Tablet|30|4|3|180|15|1125320|197426|35|-1|8|198|13.5
Acetaminophen 120 MG Rectal Suppository|3|2|0|12|10|1125357|198434|8|-3|5|13.2|9
Acetaminophen 325 MG Oral Capsule|30|10|1|180|30|1125358|198436|35|5|6|198|27
Acetaminophen 325 MG Rectal Suppository|31|1|6|120|1|1125359|198437|36|-4|11|132|0.9
Acetaminophen 500 MG Oral Capsule|35|8|15|180|30|1125360|198439|40|3|20|198|27
Acetaminophen 650 MG Rectal Suppository|12|1|2|30|4|1125392|198443|17|-4|7|33|3.6
Acetaminophen 650 MG Oral Tablet|90|7|3|270|42|1125393|198444|95|2|8|297|37.8
Acetaminophen 325 MG / butalbital 50 MG / Caffeine 40 MG Oral Capsule|30|4|3|180|15|1126747|238153|35|-1|8|198|13.5
Acetaminophen 325 MG Oral Tablet|31|4|13|224|28|1127433|313782|36|-1|18|246.4|25.2
Acetaminophen 160 MG Disintegrating Oral Tablet|32|5|0|480|72|1128019|477282|37|0|5|528|64.8
Naloxone 0.5 MG / Pentazocine 50 MG Oral Tablet|30|5|3|200|20|1130615|312289|35|0|8|220|18
1 ML Buprenorphine 0.3 MG/ML Injection|30|5|3|480|10|1133223|238129|35|0|8|528|9
Buprenorphine 2 MG Sublingual Tablet|30|6|2|150|8|1133229|351264|35|1|7|165|7.2
Buprenorphine 8 MG Sublingual Tablet|30|6|2|90|10|1133230|351265|35|1|7|99|9
Buprenorphine 2 MG / Naloxone 0.5 MG Sublingual Tablet|30|6|2|120|8|1133231|351266|35|1|7|132|7.2
Buprenorphine 8 MG / Naloxone 2 MG Sublingual Tablet|30|5|1|90|7|1133262|351267|35|0|6|99|6.3
Aspirin 400 MG / Caffeine 32 MG Oral Tablet|23|5|2|90|30|1134440|198479|28|0|7|99|27
Aspirin 325 MG / butalbital 50 MG / Caffeine 40 MG Oral Capsule|30|4|3|180|15|1134769|238134|35|-1|8|198|13.5
Aspirin 325 MG / butalbital 50 MG / Caffeine 40 MG Oral Tablet|90|4|1|315|13|1134770|238135|95|-1|6|346.5|11.7
