"","concept_code","concept_name.x","R1L","R1H","R2H","R3L","R3H","Distinct_Flaged_Dispensations","ev_cnt","pt_cnt","total_outofpocket","sum_cost","DOS_SUM","concept_name.y","Cost_Per_Day","R1L_Dis","R1H_Dis","R2H_Dis","R3L_Dis","R3H_Dis","Dist_DIS","R1L_pop","R1H_pop","R2H_pop","R3L_pop","R3H_pop","Dist_pop"
"1",987250,"Lactulose 667 MG/ML Oral Solution",92958,76906,93345,91707,96423,381743,1976532,549872,5625249.26,37024941.54,42506524,"Lactulose 667 MG/ML Oral Solution",0.871041385082441,21.2626347382689,25.7006215379814,21.1744817612084,21.5526840917269,20.4985532497433,5.17765093269556,5.91527356440543,7.14992328296882,5.89074937061439,5.99596541158254,5.70270578596393,1.44042457883969
"2",1125359,"Acetaminophen 325 MG Rectal Suppository",NA,NA,NA,NA,NA,NA,15,15,0,210.3,94,"Acetaminophen 325 MG Rectal Suppository",2.23723404255319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1519937,"Etonogestrel 68 MG Drug Implant",NA,NA,NA,NA,NA,NA,178,178,1984.28,157311.51,14338,"Etonogestrel 68 MG Drug Implant",10.9716494629655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1593071,"1000 ML Glucose 50 MG/ML / Potassium Chloride 0.02 MEQ/ML / Sodium Chloride 2.25 MG/ML Injection",NA,NA,NA,NA,NA,NA,18,13,25.77,359.13,42,"1000 ML Glucose 50 MG/ML / Potassium Chloride 0.02 MEQ/ML / Sodium Chloride 2.25 MG/ML Injection",8.55071428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1718994,"Levonorgestrel 0.000729 MG/HR Intrauterine System",NA,NA,NA,NA,NA,NA,23,23,1189.17,19896.61,4376,"Levonorgestrel 0.000729 MG/HR Intrauterine System",4.54675731261426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",19009407,"Calcium Carbonate 500 MG / Vitamin D 200 UNT Oral Tablet",NA,NA,NA,NA,NA,NA,16,12,0,60.66,454,"Calcium Carbonate 500 MG / Vitamin D 200 UNT Oral Tablet",0.133612334801762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",19027665,"tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Suspension",NA,NA,NA,NA,NA,NA,35,34,558.68,2023.88,93,"tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Suspension",21.7621505376344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",19027885,"Salicylic Acid 20 MG/ML / Sulfur 20 MG/ML Medicated Shampoo",NA,NA,NA,NA,NA,NA,40,11,0,437.07,843,"Salicylic Acid 20 MG/ML / Sulfur 20 MG/ML Medicated Shampoo",0.51846975088968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",19027948,"Castor Oil 1000 MG/ML Oral Solution",NA,NA,NA,NA,NA,NA,15,12,0,52.21,16,"Castor Oil 1000 MG/ML Oral Solution",3.263125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",19074138,"Benzoyl Peroxide 50 MG/ML Medicated Liquid Soap",NA,NA,NA,NA,NA,NA,19,13,0,191.77,503,"Benzoyl Peroxide 50 MG/ML Medicated Liquid Soap",0.381252485089463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",19074935,"cefpodoxime 10 MG/ML Oral Suspension",NA,NA,NA,NA,NA,NA,16,14,211.97,2036.51,120,"cefpodoxime 10 MG/ML Oral Suspension",16.9709166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",19076529,"dimethicone 13 MG/ML Topical Cream",NA,NA,NA,NA,NA,NA,14,12,0,127.16,316,"dimethicone 13 MG/ML Topical Cream",0.402405063291139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",19078314,"Hydrocortisone 25 MG/ML Rectal Cream",NA,NA,NA,NA,NA,NA,13,11,18.59,717.37,249,"Hydrocortisone 25 MG/ML Rectal Cream",2.88100401606426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",19084863,"valrubicin 40 MG/ML Irrigation Solution",NA,NA,NA,NA,NA,NA,27,22,29979.13,532395.15,860,"valrubicin 40 MG/ML Irrigation Solution",619.064127906977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",19099692,"Thalidomide 200 MG Oral Capsule",NA,NA,NA,NA,NA,NA,815,153,279597.4,7998179.44,22820,"Thalidomide 200 MG Oral Capsule",350.489896581946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",19129147,"{56 (Ribavirin 400 MG Oral Tablet) } Pack",NA,NA,NA,NA,NA,NA,32,14,1420.39,37653.22,896,"{56 (Ribavirin 400 MG Oral Tablet) } Pack",42.0236830357143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",19130340,"Povidone-Iodine 100 MG/ML Medicated Pad",NA,NA,NA,NA,NA,NA,27,12,0,460.73,484,"Povidone-Iodine 100 MG/ML Medicated Pad",0.951921487603306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",19131877,"0.5 ML acellular pertussis vaccine, inactivated 96 UNT/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 68 UNT/ML / poliovirus vaccine inactivated,",NA,NA,NA,NA,NA,NA,46,37,1974.13,5182.29,655,"0.5 ML acellular pertussis vaccine, inactivated 96 UNT/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 68 UNT/ML / poliovirus vaccine inactivated,",7.91189312977099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19133085,"1 ML hepatitis B immune globulin 220 UNT/ML Prefilled Syringe",NA,NA,NA,NA,NA,NA,13,13,354.78,1409.26,274,"1 ML hepatitis B immune globulin 220 UNT/ML Prefilled Syringe",5.14328467153285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",19133448,"0.5 ML Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.05 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.05 MG/ML / diphtheria toxoid vaccine, inactivated",NA,NA,NA,NA,NA,NA,15,14,604.56,1001.8,131,"0.5 ML Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.05 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.05 MG/ML / diphtheria toxoid vaccine, inactivated",7.64732824427481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",19133451,"0.5 ML acellular pertussis vaccine, inactivated 0.116 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine ina",NA,NA,NA,NA,NA,NA,15,13,722.17,1389.72,102,"0.5 ML acellular pertussis vaccine, inactivated 0.116 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine ina",13.6247058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",35602747,"10 ML Fosphenytoin sodium 75 MG/ML Injection",NA,NA,NA,NA,NA,NA,17,12,202.88,5772.74,227,"10 ML Fosphenytoin sodium 75 MG/ML Injection",25.4305726872247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
