nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at
NCT01930045,"ClinicalTrials.gov processed this data on August 01, 2018",2013-08-23,2014-10-29,NA,2017-02-14,2013-08-23,2013-08-28,Estimate,2014-10-29,2014-11-03,Estimate,NA,NA,NA,2017-02-14,2017-03-21,Actual,October 2013,NA,2013-10-31,February 2017,2017-02-28,December 2013,Actual,2013-12-31,December 2013,Actual,2013-12-31,NA,Interventional,NA,,A Pharmacokinetic Study to Evaluate the Effect of MAALOX on Raltegravir (MK-0518) in Human Immunodeficiency Virus (HIV)-Infected Participants (MK-0518-295),A Study to Evaluate the Effect of Staggered Dosing of a Magnesium/Aluminum Antacid on Raltegravir Pharmacokinetics in HIV-Infected Subjects on a Raltegravir-Containing Regimen,Completed,NA,Phase 1,18,Actual,Merck Sharp & Dohme Corp.,,6,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",2018-08-02T03:03:00Z,2018-08-02T03:03:00Z
NCT01792570,"ClinicalTrials.gov processed this data on August 01, 2018",2013-02-07,NA,NA,2016-03-29,2013-02-14,2013-02-15,Estimate,NA,NA,NA,NA,NA,NA,2016-03-29,2016-03-30,Estimate,September 2014,NA,2014-09-30,March 2016,2016-03-31,October 2017,Anticipated,2017-10-31,September 2017,Anticipated,2017-09-30,NA,Interventional,NA,,DRV/r + RPV QD: Efficacy and Toxicity Reduction,Strategic Study of Dual-therapy With Darunavir/Ritonavir and Rilpivirine QD Versus Triple-therapy in Patients With Suppressed Viral Load: Virological Efficacy and Evaluation of Non-HIV Related Morbidity.,Unknown status,Recruiting,Phase 3,132,Anticipated,ASST Fatebenefratelli Sacco,,2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,,Yes,NA,2018-08-02T03:47:01Z,2018-08-02T03:47:01Z
NCT01717287,"ClinicalTrials.gov processed this data on August 01, 2018",2012-10-26,2014-06-30,NA,2017-02-14,2012-10-26,2012-10-30,Estimate,2014-06-30,2014-07-29,Estimate,NA,NA,NA,2017-02-14,2017-03-21,Actual,November 2012,NA,2012-11-30,February 2017,2017-02-28,December 2013,Actual,2013-12-31,December 2013,Actual,2013-12-31,NA,Interventional,NA,,"A Study of the Safety, Tolerability, and Antiretroviral Activity of Raltegravir (MK-0518) in Combination With Other Antiretroviral Therapies in Russian Children and Adolescents Infected With Human Immunodeficiency Virus (HIV-1) (MK-0518-248)","A Phase II, Multicenter, Open-Label, Noncomparative Study of Raltegravir (MK-0518) in Two Oral Formulations in Combination With Other Antiretroviral Agents to Evaluate the Safety, Tolerability, and Antiretroviral Activity in HIV-1 Infected Russian Children and Adolescents",Completed,NA,Phase 2,32,Actual,Merck Sharp & Dohme Corp.,,2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",2018-08-02T04:15:31Z,2018-08-02T04:15:31Z
NCT01622673,"ClinicalTrials.gov processed this data on August 01, 2018",2012-06-15,2013-07-11,NA,2017-02-14,2012-06-15,2012-06-19,Estimate,2013-07-11,2013-09-17,Estimate,NA,NA,NA,2017-02-14,2017-03-21,Actual,June 2012,NA,2012-06-30,February 2017,2017-02-28,October 2012,Actual,2012-10-31,October 2012,Actual,2012-10-31,NA,Interventional,NA,,A Pharmacokinetic Study to Evaluate the Effect of Antacids on Raltegravir (MK-0518) in HIV-Infected Participants (MK-0518-247),A Study to Evaluate the Effect of Metal Cation-Containing Antacids on Raltegravir Pharmacokinetics in HIV-Infected Subjects on a Stable Raltegravir-Containing Regimen,Completed,NA,Phase 1,27,Actual,Merck Sharp & Dohme Corp.,,6,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",2018-08-02T04:48:10Z,2018-08-02T04:48:10Z
NCT01340950,"ClinicalTrials.gov processed this data on August 01, 2018",2011-04-21,NA,NA,2016-03-31,2011-04-22,2011-04-25,Estimate,NA,NA,NA,NA,NA,NA,2016-03-31,2016-04-04,Estimate,July 2010,NA,2010-07-31,March 2016,2016-03-31,July 2015,Actual,2015-07-31,July 2014,Actual,2014-07-31,NA,Interventional,NA,,Clinical Trial of Brain-Penetrating HIV Drugs to Prevent Cognitive Impairment in China,Clinical Trial of CNS Penetrating ART to Prevent NeuroAIDS in China,Completed,NA,Phase 4,250,Actual,"University of California, San Diego",,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,,Yes,Data will be shared in conference presentations and peer-reviewed publications. Data will also be made available on approval of requests for appropriate use.,2018-08-02T06:37:38Z,2018-08-02T06:37:38Z
NCT01246401,"ClinicalTrials.gov processed this data on August 01, 2018",2010-11-22,2017-02-27,NA,2017-06-14,2010-11-22,2010-11-23,Estimate,2017-06-14,2017-07-17,Actual,NA,NA,NA,2017-06-14,2017-07-17,Actual,March 2011,NA,2011-03-31,June 2017,2017-06-30,July 2016,Actual,2016-07-31,March 2016,Actual,2016-03-31,NA,Interventional,NewHope,,Naltrexone for Opioid Dependent Released Human Immunodeficiency Virus Positive (HIV+) Criminal Justice Populations,Naltrexone for Opioid Dependent Released Human Immunodeficiency Virus Positive (HIV+) Criminal Justice Populations,Completed,NA,Phase 1/Phase 2,151,Actual,Yale University,,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,,Yes,"Data has been shared with the National Institute on Drug Abuse as a site in the data harmonization project associated with Seek, Test, Treat and Retain for Criminal Justice Populations.",2018-08-02T07:35:50Z,2018-08-02T07:35:50Z
NCT01165203,"ClinicalTrials.gov processed this data on August 01, 2018",2010-07-15,2017-05-11,2013-04-11,2018-03-30,2010-07-15,2010-07-19,Estimate,2017-05-11,2017-06-07,Actual,2013-04-11,2013-04-18,Estimate,2018-03-30,2018-04-30,Actual,"September 30, 2010",Actual,2010-09-30,October 2017,2017-10-31,"May 14, 2013",Actual,2013-05-14,"July 6, 2012",Actual,2012-07-06,NA,Interventional,NA,,Study to Evaluate GSK Biologicals' Herpes Zoster Vaccine GSK1437173A in Human Immunodeficiency Virus (HIV)-Infected Subjects,Safety and Immunogenicity of GlaxoSmithKline Biologicals' Herpes Zoster Vaccine 1437173A in Adult HIV-infected Subjects,Completed,NA,Phase 2,123,Actual,GlaxoSmithKline,,2,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2018-08-02T08:12:15Z,2018-08-02T08:12:15Z
NCT01159223,"ClinicalTrials.gov processed this data on August 01, 2018",2010-06-04,NA,NA,2016-08-17,2010-07-08,2010-07-09,Estimate,NA,NA,NA,NA,NA,NA,2016-08-17,2016-08-18,Estimate,May 2011,NA,2011-05-31,August 2016,2016-08-31,June 2015,Actual,2015-06-30,December 2014,Actual,2014-12-31,NA,Interventional,NA,,Low Dose Atazanavir/r Versus Standard Dose Atazanavir/r (LASA),A Multicenter Randomized Study to Compare the Efficacy and Safety of Lower Dose Atazanavir /Ritonavir (ATV/r 200/100 OD) Versus Standard Dose (ATV/r 300/100 mg OD) in Combination With 2NRTIs in Well Virology Suppressed HIV-infected Adults,Completed,NA,Phase 4,559,Actual,The HIV Netherlands Australia Thailand Research Collaboration,,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,,Yes,study protocol available at www.hivnat.org,2018-08-02T08:13:53Z,2018-08-02T08:13:53Z
NCT01147107,"ClinicalTrials.gov processed this data on August 01, 2018",2010-06-16,NA,NA,2017-03-06,2010-06-16,2010-06-22,Estimate,NA,NA,NA,NA,NA,NA,2017-03-06,2017-03-08,Actual,February 2014,NA,2014-02-28,March 2017,2017-03-31,June 2017,Anticipated,2017-06-30,December 2016,Actual,2016-12-31,NA,Interventional,NA,,Hepatic Safety of Raltegravir Versus Efavirenz as HIV Therapy for Patients With HIV and HCV Coinfection,Hepatic Safety of Raltegravir-based and Efavirenz-based Antiretroviral Regimens in Antiretroviral-NaÃ¯ve HIV-infected Subjects Co-Infected With Hepatitis C,"Active, not recruiting",NA,Phase 4,80,Anticipated,University of Hawaii,,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,,Yes,IPD will be shared with other researchers upon request following the publication of the data. Researchers will contact the PI.,2018-08-02T08:17:15Z,2018-08-02T08:17:15Z
NCT01000818,"ClinicalTrials.gov processed this data on August 01, 2018",2009-10-22,2010-03-10,NA,2017-02-14,2009-10-22,2009-10-23,Estimate,2010-05-03,2010-05-28,Estimate,NA,NA,NA,2017-02-14,2017-03-21,Actual,June 2008,NA,2008-06-30,February 2017,2017-02-28,March 2009,Actual,2009-03-31,March 2009,Actual,2009-03-31,NA,Interventional,NA,,A Study to Evaluate the Effect of Famotidine and Omeprazole on MK0518 (Raltegravir) Pharmacokinetics in Human Immunodeficiency Virus (HIV)-Infected Patients (0518-054),"An Open-Label, 3-Period, Fixed-Sequence Study to Evaluate the Effect of Famotidine and Omeprazole on MK0518 Pharmacokinetics in HIV-Infected Patients on a Stable MK0518-Containing Regimen",Completed,NA,Phase 1,18,Actual,Merck Sharp & Dohme Corp.,,3,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",2018-08-02T09:02:23Z,2018-08-02T09:02:23Z
