Group Name,ueid,DE id,Data Type,Length,DE Description,Study
conmedsq.sas7bdat,NCT00000590-pactg_dd.csv_rand_id,rand_id,Char,8,randomized subject ID,NCT00000590-pactg_dd.csv
conmedsq.sas7bdat,NCT00000590-pactg_dd.csv_DRUGNAME,DRUGNAME,Char,16,drug name,NCT00000590-pactg_dd.csv
conmedsq.sas7bdat,NCT00000590-pactg_dd.csv_SEQUENCE,SEQUENCE,Num,3,sequence number,NCT00000590-pactg_dd.csv
conmedsq.sas7bdat,NCT00000590-pactg_dd.csv_DYSONDRG,DYSONDRG,Num,4,days on drug,NCT00000590-pactg_dd.csv
conmedsq.sas7bdat,NCT00000590-pactg_dd.csv_PREGSEQ,PREGSEQ,Num,3,sequence overlaps pregnancy,NCT00000590-pactg_dd.csv
conmedsq.sas7bdat,NCT00000590-pactg_dd.csv_PREGDAYS,PREGDAYS,Num,4,days on drug during pregnancy,NCT00000590-pactg_dd.csv
conmedsq.sas7bdat,NCT00000590-pactg_dd.csv_delivdays,delivdays,Num,8,"delivery, days since randomization",NCT00000590-pactg_dd.csv
conmedsq.sas7bdat,NCT00000590-pactg_dd.csv_seqstrtdays,seqstrtdays,Num,8,"Drug start, days since randomization",NCT00000590-pactg_dd.csv
conmedsq.sas7bdat,NCT00000590-pactg_dd.csv_seqstopdays,seqstopdays,Num,8,"Drug stop, days since randomization",NCT00000590-pactg_dd.csv
conmedsq.sas7bdat,NCT00000590-pactg_dd.csv_pregstrtdays,pregstrtdays,Num,8,"Start of portion that overlaps with pregnancy, days since randomization",NCT00000590-pactg_dd.csv
conmedsq.sas7bdat,NCT00000590-pactg_dd.csv_pregstopdays,pregstopdays,Num,8,"Stop of portion that overlaps with pregnancy, days since randomization",NCT00000590-pactg_dd.csv
drugflgs.sas7bdat,NCT00000590-pactg_dd.csv_rand_id,rand_id,Char,8,randomized subject ID,NCT00000590-pactg_dd.csv
drugflgs.sas7bdat,NCT00000590-pactg_dd.csv_ZDVBEFOR,ZDVBEFOR,Num,3,ON ZDV BEFORE PREGNANCY,NCT00000590-pactg_dd.csv
drugflgs.sas7bdat,NCT00000590-pactg_dd.csv_ZDVDUR,ZDVDUR,Num,3,ON ZDV DURING PREGNANCY,NCT00000590-pactg_dd.csv
drugflgs.sas7bdat,NCT00000590-pactg_dd.csv_THERINTR,THERINTR,Num,3,THERAPY INTERRUPTED DURING PREGNANCY,NCT00000590-pactg_dd.csv
drugflgs.sas7bdat,NCT00000590-pactg_dd.csv_THERSTOP,THERSTOP,Num,3,THERAPY STOPPED DURING PREGNANCY,NCT00000590-pactg_dd.csv
drugflgs.sas7bdat,NCT00000590-pactg_dd.csv_ARVCAT,ARVCAT,Num,3,Antiretroviral Therapy Category,NCT00000590-pactg_dd.csv
drugflgs.sas7bdat,NCT00000590-pactg_dd.csv_ALLCOMB,ALLCOMB,Char,31,all ARV combinations during pregnancy,NCT00000590-pactg_dd.csv
drugflgs.sas7bdat,NCT00000590-pactg_dd.csv_COHRTCAT,COHRTCAT,Num,3,ART category,NCT00000590-pactg_dd.csv
drugflgs.sas7bdat,NCT00000590-pactg_dd.csv_CATBEFOR,CATBEFOR,Num,3,THERAPY IN CATEGORY STARTED BEFORE PREG.,NCT00000590-pactg_dd.csv
drugflgs.sas7bdat,NCT00000590-pactg_dd.csv_delivdays,delivdays,Num,8,"delivery, days since randomization",NCT00000590-pactg_dd.csv
drugflgs.sas7bdat,NCT00000590-pactg_dd.csv_catdays,catdays,Num,8,"Therapy in category started, days since randomization",NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_rand_id,rand_id,Char,8,randomized subject ID,NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_mother_id,mother_id,Char,8,rand_id of the mother (only applicable to infants),NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_GAGECAT,GAGECAT,Num,3,gestational age at delivery,NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_AGE32CAT,AGE32CAT,Num,3,gestational age at delivery,NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_BWGTCAT,BWGTCAT,Num,3,birth weight (grams),NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_COMPOS,COMPOS,Num,3,final transmission status,NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_LIVEOUTC,LIVEOUTC,Num,3,infant born live,NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_DIEDONST,DIEDONST,Num,3,infant died on study,NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_SEX,SEX,Num,3,SEX,NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_TXARM,TXARM,Num,3,Treatment Arm,NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_TWIN,TWIN,Num,3,infant has twin,NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_GESTAGE,GESTAGE,Num,3,GEST. AGE (WKS) AT RAND BY SONOGRAM,NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_NUMFETUS,NUMFETUS,Num,3,"IF MULTIPLE BIRTHS, HOW MANY FETUSES",NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_OUTCPREG,OUTCPREG,Num,3,WHAT IS THE OUTCOME OF THE PREGNANCY?\,NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_DELIVTIM,DELIVTIM,Char,5,TIME OF DELIVERY (24 HR CLOCK),NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_MRUPTIME,MRUPTIME,Char,5,TIME MEMBRANES RUPTURED (24 HR CLOCK),NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_CONGANOM,CONGANOM,Num,3,WERE ANY CONGENITAL ANOMALIES IDENTIFIED,NCT00000590-pactg_dd.csv
infants.sas7bdat,NCT00000590-pactg_dd.csv_CENSRAGE,CENSRAGE,Num,8,age at censoring,NCT00000590-pactg_dd.csv
