mesh,outcome_concept,Drug_cnt,trial count,outcome_count_for_mesh,total_trials_for mesh,DE_trial_proportion,Commonness,DE type
acne vulgaris,Inflammatory Lesion Count,2,3,2,5,0.6,Very,non-Lab
acne vulgaris,Investigator Global Assessment (IGA),2,5,2,5,1,completely,Observation
"amyloid neuropathies, familial",Modified Neuropathy Impairment Score +7 (mNIS+7),2,2,2,2,1,completely,Lab
"amyloid neuropathies, familial",Norfolk Quality Of Life Diabetic Neuropathy (QoL-DN) Questionnaire,2,1,2,2,0.5,unique,Questionnaire
amyloidosis,All-Cause Mortality ,3,1,4,3,0.333333333,unique,Mortality
amyloidosis,Cardiovascular-Related Hospitalizations,3,1,4,3,0.333333333,unique,Event
amyloidosis,Modified Neuropathy Impairment Score +7 (mNIS+7),3,2,4,3,0.666666667,Very,Lab
amyloidosis,Norfolk Quality Of Life Diabetic Neuropathy (QoL-DN) Questionnaire,3,1,4,3,0.333333333,unique,Questionnaire
"anemia, iron-deficiency",Hemoglobin,1,2,1,2,1,completely,Lab
"anemia, sickle cell",Hemoglobin,2,1,2,2,0.5,unique,Lab
"anemia, sickle cell",Sickle Cell-related Pain Crises (SCPC),2,1,2,2,0.5,unique,Event
"arthritis, rheumatoid",American College of Rheumatology 20/50/70,2,9,5,9,1,completely,Observation
"arthritis, rheumatoid",Clinical Response,2,2,5,9,0.222222222,Somewhat,Lab
"arthritis, rheumatoid",Disease Activity Score 28 (DAS28)-CRP ,2,5,5,9,0.555555556,Very,Lab
"arthritis, rheumatoid",Low Disease Activity (LDA),2,3,5,9,0.333333333,Somewhat,Lab
"arthritis, rheumatoid",Modified Total Sharp Score (mTSS) ,2,1,5,9,0.111111111,unique,Lab
breast neoplasms,Objective Response Rate,3,1,3,3,0.333333333,unique,Lab
breast neoplasms,Progression-free Survival (PFS),3,2,3,3,0.666666667,Very,Lab
breast neoplasms,"Response Evaluation Criteria in Solid Tumors, version 1.1 (RECIST 1.1)",3,1,3,3,0.333333333,unique,Lab
carcinoid tumor,PET/CT scan,2,1,3,3,0.333333333,unique,non-Lab
carcinoid tumor,Progression-Free Survival (PFS),2,1,3,3,0.333333333,unique,Lab
carcinoid tumor,tumor management,2,1,3,3,0.333333333,unique,non-Lab
"carcinoma, non-small-cell lung",lesions within brain,2,1,4,2,0.5,unique,non-Lab
"carcinoma, non-small-cell lung",Overall Response Rate (ORR),2,1,4,2,0.5,unique,Lab
"carcinoma, non-small-cell lung",Progression-Free Survival (PFS),2,1,4,2,0.5,unique,Lab
"carcinoma, non-small-cell lung","Response Evaluation Criteria in Solid Tumors, version 1.1 (RECIST 1.1)",2,1,4,2,0.5,unique,Lab
cataplexy,cataplexy attacks ,1,1,2,2,0.5,unique,Event
cataplexy,Epworth Sleepiness Scale (ESS) Score,1,1,2,2,0.5,unique,Observation
cholestasis,cholestasis,1,1,2,2,0.5,unique,non-Lab
cholestasis,established parenteral nutrition associated liver disease,1,1,2,2,0.5,unique,Lab
choroidal neovascularization,Best Corrected Visual Acuity (BCVA) ,1,2,1,2,1,completely,non-Lab
communicable diseases,alanine aminotransferase (ALT),4,2,8,6,0.333333333,Somewhat,Lab
communicable diseases,Alkaline Phosphatase,4,2,8,6,0.333333333,Somewhat,Lab
communicable diseases,Aspartate Aminotransferase (AST),4,2,8,6,0.333333333,Somewhat,Lab
communicable diseases,Clinical Cure,4,1,8,6,0.166666667,unique,Lab
communicable diseases,Clinical Response,4,4,8,6,0.666666667,Very,Lab
communicable diseases,Microbiological Eradication,4,2,8,6,0.333333333,Somewhat,Lab
communicable diseases,Microbiological Response,4,1,8,6,0.166666667,unique,Lab
communicable diseases,Total Bilirubin ,4,2,8,6,0.333333333,Somewhat,Lab
constipation,Overall Response Rate (ORR),2,2,2,8,0.25,Somewhat,Observation
constipation,Spontaneous Complete Bowel Movements (SCBM),2,6,2,8,0.75,Very,Symptom
cystic fibrosis,Percent Predicted Forced Expiratory Volume in 1 Second (ppFEV1),2,5,1,5,1,completely,non-Lab
"depression, postpartum",17-Item Hamilton Rating Scale for Depression (HAM-D) ,1,2,1,2,1,completely,Questionnaire
diarrhea,Unformed Stool (TLUS),1,2,1,2,1,completely,Symptom
endometriosis,Dysmenorrhea (DYS),1,2,2,2,1,completely,Symptom
endometriosis,Non-Menstrual Pelvic Pain (NMPP),1,2,2,2,1,completely,Symptom
"epilepsies, partial",seizure frequency,1,2,1,2,1,completely,Event
graves ophthalmopathy,proptosis,1,2,1,2,1,completely,non-Lab
"hemoglobinuria, paroxysmal",Lactate Dehydrogenase,1,2,2,2,1,completely,Lab
"hemoglobinuria, paroxysmal",Transfusion,1,1,2,2,0.5,unique,Event
hiv infections,HIV-1 RNA,3,7,2,7,1,completely,Lab
hiv infections,Virologic Failure,3,1,2,7,0.142857143,unique,Lab
hyperkalemia,Serum Potassium,1,2,1,2,1,completely,Lab
hypophosphatemia,Rickets Severity Score,1,1,4,3,0.333333333,unique,non-Lab
hypophosphatemia,"Serum 1,25(OH)2D",1,1,4,3,0.333333333,unique,Lab
hypophosphatemia,Serum Phosphorus,1,3,4,3,1,completely,Lab
hypophosphatemia,TmP/GFR,1,1,4,3,0.333333333,unique,Lab
immunologic deficiency syndromes,erythrocyte dAXP,2,1,2,2,0.5,unique,Lab
immunologic deficiency syndromes,HIV-1 RNA,2,1,2,2,0.5,unique,Lab
intraabdominal infections,alanine aminotransferase (ALT),2,1,5,3,0.333333333,unique,Lab
intraabdominal infections,Alkaline Phosphatase,2,1,5,3,0.333333333,unique,Lab
intraabdominal infections,Aspartate Aminotransferase (AST),2,1,5,3,0.333333333,unique,Lab
intraabdominal infections,Clinical Response,2,3,5,3,1,completely,Lab
intraabdominal infections,Total Bilirubin ,2,1,5,3,0.333333333,unique,Lab
irritable bowel syndrome,Overall Response Rate (ORR),1,2,1,2,1,completely,Observation
lambert-eaton myasthenic syndrome,Quantitative Myasthenia Gravis (QMG) ,1,2,2,2,1,completely,non-Lab
lambert-eaton myasthenic syndrome,Subject Global Impression (SGI) Score,1,2,2,2,1,completely,Questionnaire
lennox gastaut syndrome,Drop Seizure Frequency,1,2,1,2,1,completely,Event
leukemia,asparaginase activity levels,5,1,6,7,0.142857143,unique,Lab
leukemia,Complete Remission With Partial Hematological Recovery (CR/CRh),5,1,6,7,0.142857143,unique,Lab
leukemia,Complete Response (CR) ,5,3,6,7,0.428571429,Somewhat,Lab
leukemia,Overall Response Rate (ORR),5,1,6,7,0.142857143,unique,Lab
leukemia,Overall Survival (OS),5,2,6,7,0.285714286,Somewhat,Mortality
leukemia,Progression-Free Survival (PFS),5,1,6,7,0.142857143,unique,Lab
"leukemia, lymphocytic, chronic, b-cell",Overall Response Rate (ORR),1,1,2,2,0.5,unique,Lab
"leukemia, lymphocytic, chronic, b-cell",Progression-Free Survival (PFS),1,1,2,2,0.5,unique,Lab
"leukemia, lymphoid",asparaginase activity levels,2,1,3,3,0.333333333,unique,Lab
"leukemia, lymphoid",Overall Response Rate (ORR),2,1,3,3,0.333333333,unique,Lab
"leukemia, lymphoid",Progression-Free Survival (PFS),2,1,3,3,0.333333333,unique,Lab
"leukemia, myeloid, acute",Clinical Activity,3,1,4,4,0.25,unique,Lab
"leukemia, myeloid, acute",Complete Remission With Partial Hematological Recovery (CR/CRh),3,1,4,4,0.25,unique,Lab
"leukemia, myeloid, acute",Complete Response (CR) ,3,2,4,4,0.5,Very,Lab
"leukemia, myeloid, acute",Overall Survival (OS),3,2,4,4,0.5,Very,Mortality
liver diseases,established parenteral nutrition associated liver disease,3,1,3,3,0.333333333,unique,Lab
liver diseases,Platelet Transfusion,3,2,3,3,0.666666667,Very,Event
liver diseases,Rescue Therapy,3,2,3,3,0.666666667,Very,Event
lymphoma,Area Under Concentration-Time Curve (AUC) of Polatuzumab ,5,1,10,7,0.142857143,unique,Lab
lymphoma,asparaginase activity levels,5,1,10,7,0.142857143,unique,Lab
lymphoma,Complete Response (CR) ,5,1,10,7,0.142857143,unique,Lab
lymphoma,Lugano Criteria ,5,1,10,7,0.142857143,unique,Observation
lymphoma,Maximum Concentration (Cmax) of Polatuzumab,5,1,10,7,0.142857143,unique,Lab
lymphoma,Objective Response Rate,5,1,10,7,0.142857143,unique,Lab
lymphoma,Overall Response Rate (ORR),5,1,10,7,0.142857143,unique,Lab
lymphoma,Progression-Free Survival (PFS),5,3,10,7,0.428571429,Somewhat,Lab
lymphoma,Steady-State Volume of Distribution (Vss) of Polatuzumab,5,1,10,7,0.142857143,unique,Lab
lymphoma,Systemic Clearance (CL) of Polatuzumab,5,1,10,7,0.142857143,unique,Lab
macular degeneration,Best Corrected Visual Acuity (BCVA) ,1,2,1,2,1,completely,non-Lab
medulloblastoma,concordance in tumor detection,1,1,4,3,0.333333333,unique,non-Lab
medulloblastoma,discordance in tumor detection,1,1,4,3,0.333333333,unique,non-Lab
medulloblastoma,PET/CT scan,1,1,4,3,0.333333333,unique,non-Lab
medulloblastoma,tumor management,1,1,4,3,0.333333333,unique,non-Lab
migraine disorders,Headache Pain,5,4,3,12,0.333333333,Somewhat,Symptom
migraine disorders,Monthly Migraine Days,5,8,3,12,0.666666667,Very,Symptom
migraine disorders,Most Bothersome Symptom (MBS),5,4,3,12,0.333333333,Somewhat,Symptom
myelodysplastic syndromes,Clinical Activity,2,1,3,2,0.5,unique,Lab
myelodysplastic syndromes,Complete Response (CR) ,2,1,3,2,0.5,unique,Lab
myelodysplastic syndromes,Overall Survival (OS),2,1,3,2,0.5,unique,Mortality
narcolepsy,cataplexy attacks ,2,1,4,6,0.166666667,unique,Event
narcolepsy,Clinical Global Impression-Change Score,2,1,4,6,0.166666667,unique,non-Lab
narcolepsy,Epworth Sleepiness Scale (ESS) Score,2,4,4,6,0.666666667,Very,Observation
