NCT-_id,,NCT01233531,,NCT01751646,NCT01418014
,GPC,HPTN068,BTRIS,ATN109,PHACS
n,2032,2533,4040,102,678
earliest,2010-01-01T00:00:00Z,2011-03-05T00:00:00Z,1976-09-02T00:00:00Z,1/6/2012,1/1/2010
latest,2018-10-12T00:00:00Z,2015-06-15T00:00:00Z,2018-07-26T00:00:00Z,4/29/2014,10/12/2018
span,3206,1563,15302,844,3206
enroll_age_median,45,15,58,23.03287671,11
enroll_age_mean,45,15,58,22.7871694,11.01038576
enroll_age_max,83,21,67,25.3260274,2.620903313
enroll_age_min,10,12,25,18.53424658,16
enroll_age_sd,14.82294606,1.793238338,7.806408463,1.575387298,7
end_age_median,48,18,61,23.63287671,16
end_age_mean,48,18,61,23.57206022,16.30684932
end_age_max,85,24,67,26.0739726,5.893887156
end_age_min,10,13,35,19.22465753,25
end_age_sd,14.80470263,1.878950055,5.59835292,1.597996636,10
span_median,811,910,0.003877315,331,731
span_mean,811,910,0.003877315,331.0000416,696.8753709
span_sd,1026.536229,260.1226801,0.024890069,89.2725408,141.8219042
span_min,0,0,0,40.0000032,0
span_max,3159,1488,0.154583333,509.0000256,822
visit_count_median,11,4,3,3,5
visit_count_mean,24,4,5,3,5
visit_count_sd,31.54866144,0.908669106,6.876276953,0.7789305,0.8160046
visit_count_min,1,1,1,2,1
visit_count_max,251,5,102,5,6
