significance_rank,DE_id,DE_description,Data_type,Data_type_description,Group_id,Group_id_description,PV,PV_description,PV_count
,3,Verbal interview duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,4,Biometrics duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,5,Sample collection duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,6,Conclusion duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,19,Heel ultrasound method,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100018,Bone-densitometry of heel,1|2|3|6|7,Direct entry|Manual entry|Not performed|Not performed - equipment failure|Not performed - other reason,5
,21,Weight method,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100010,Body size measures,-1|1|2|3|4,Question not asked due to previous answers|Direct entry|Manual entry of full results|Manual measurement of weight only|Not performed,5
,23,Spirometry method,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100020,Spirometry,0|1|6|7|9,Direct entry|Manual|Not performed - equipment failure|Not performed - other reason|Cannot be measured,5
1,31,Sex,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100094,Baseline characteristics,0|1,Female|Male,2
,33,Date of birth,Date,"a calendar date, for example 14th October 2010",100094,Baseline characteristics,NA,NA,NA
,34,Year of birth,Integer,"whole numbers, for example the age of a participant on a particular date",100094,Baseline characteristics,NA,NA,NA
,35,Was blood sampling attempted,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100002,Blood sample collection,0|1,No|Yes,2
,36,Blood pressure device ID,Text,"data composed of alphanumeric characters, for example the first line of an address",100011,Blood pressure,NA,NA,NA
,37,Blood pressure manual sphygmomanometer device ID,Text,"data composed of alphanumeric characters, for example the first line of an address",100011,Blood pressure,NA,NA,NA
,38,Hand grip dynamometer device ID,Text,"data composed of alphanumeric characters, for example the first line of an address",100019,Hand grip strength,NA,NA,NA
,39,Height measure device ID,Text,"data composed of alphanumeric characters, for example the first line of an address",100010,Body size measures,NA,NA,NA
,40,Manual scales device ID,Text,"data composed of alphanumeric characters, for example the first line of an address",100010,Body size measures,NA,NA,NA
,41,Seating box device ID,Text,"data composed of alphanumeric characters, for example the first line of an address",100010,Body size measures,NA,NA,NA
,42,Spirometer device ID,Text,"data composed of alphanumeric characters, for example the first line of an address",100020,Spirometry,NA,NA,NA
,43,Impedance device ID,Text,"data composed of alphanumeric characters, for example the first line of an address",100009,Impedance measures,NA,NA,NA
,44,Tape measure device ID,Text,"data composed of alphanumeric characters, for example the first line of an address",100010,Body size measures,NA,NA,NA
,45,Heel ultrasound device id,Text,"data composed of alphanumeric characters, for example the first line of an address",100018,Bone-densitometry of heel,NA,NA,NA
,46,Hand grip strength (left),Integer,"whole numbers, for example the age of a participant on a particular date",100019,Hand grip strength,NA,NA,NA
,47,Hand grip strength (right),Integer,"whole numbers, for example the age of a participant on a particular date",100019,Hand grip strength,NA,NA,NA
,48,Waist circumference,Continuous,"floating-point numbers, for example the height of a participant",100010,Body size measures,NA,NA,NA
,49,Hip circumference,Continuous,"floating-point numbers, for example the height of a participant",100010,Body size measures,NA,NA,NA
,50,Standing height,Continuous,"floating-point numbers, for example the height of a participant",100010,Body size measures,NA,NA,NA
,51,Seated height,Continuous,"floating-point numbers, for example the height of a participant",100010,Body size measures,NA,NA,NA
,52,Month of birth,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100094,Baseline characteristics,1|2|3|4|5|6|7|8|9|10|11|12,January|February|March|April|May|June|July|August|September|October|November|December,12
,53,Date of attending assessment centre,Date,"a calendar date, for example 14th October 2010",100024,Reception,NA,NA,NA
,54,UK Biobank assessment centre,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100024,Reception,10003|11001|11002|11003|11004|11005|11006|11007|11008|11009|11010|11011|11012|11013|11014|11016|11017|11018|11020|11021|11022|11023|11024|11025|11026|11027|11028,Stockport (pilot)|Manchester|Oxford|Cardiff|Glasgow|Edinburgh|Stoke|Reading|Bury|Newcastle|Leeds|Bristol|Barts|Nottingham|Sheffield|Liverpool|Middlesborough|Hounslow|Croydon|Birmingham|Swansea|Wrexham|Cheadle (revisit)|Cheadle (imaging)|Reading (imaging)|Newcastle (imaging)|Bristol (imaging),27
,55,Month of attending assessment centre,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100024,Reception,1|2|3|4|5|6|7|8|9|10|11|12,January|February|March|April|May|June|July|August|September|October|November|December,12
,62,Willing to attempt cognitive tests,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100004,Procedural metrics,1|2,Begin games|I am unable to try this,2
,68,Number of blood samples taken,Integer,"whole numbers, for example the age of a participant on a particular date",100002,Blood sample collection,NA,NA,NA
,74,Fasting time,Integer,"whole numbers, for example the age of a participant on a particular date",100002,Blood sample collection,NA,NA,NA
,77,"Heel bone ultrasound T-score, manual entry",Continuous,"floating-point numbers, for example the height of a participant",100018,Bone-densitometry of heel,NA,NA,NA
,78,"Heel bone mineral density (BMD) T-score, automated",Continuous,"floating-point numbers, for example the height of a participant",100018,Bone-densitometry of heel,NA,NA,NA
,84,Cancer year/age first occurred,Integer,"whole numbers, for example the age of a participant on a particular date",100074,Medical conditions,-3|-1,Preferred not to answer|Time uncertain/unknown,2
,87,Non-cancer illness year/age first occurred,Integer,"whole numbers, for example the age of a participant on a particular date",100074,Medical conditions,-3|-1,Preferred not to answer|Time uncertain/unknown,2
,92,Operation year/age first occurred,Integer,"whole numbers, for example the age of a participant on a particular date",100076,Operations,-3|-1,Preferred not to answer|Time uncertain/unknown,2
,93,"Systolic blood pressure, manual reading",Integer,"whole numbers, for example the age of a participant on a particular date",100011,Blood pressure,NA,NA,NA
,94,"Diastolic blood pressure, manual reading",Integer,"whole numbers, for example the age of a participant on a particular date",100011,Blood pressure,NA,NA,NA
,95,Pulse rate (during blood-pressure measurement),Integer,"whole numbers, for example the age of a participant on a particular date",100011,Blood pressure,NA,NA,NA
,96,Time since interview start at which blood pressure screen(s) shown,Integer,"whole numbers, for example the age of a participant on a particular date",100011,Blood pressure,NA,NA,NA
,102,"Pulse rate, automated reading",Integer,"whole numbers, for example the age of a participant on a particular date",100011,Blood pressure,NA,NA,NA
,111,Aide-memoire completed,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100004,Procedural metrics,0|1,No|Yes,2
,120,Birth weight known,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100072,Early life factors,1|2|9,Yes - pounds and ounces|Yes - Kilograms|No,3
,129,Place of birth in UK - north co-ordinate,Integer,"whole numbers, for example the age of a participant on a particular date",100072,Early life factors,-1,Location could not be mapped,1
,130,Place of birth in UK - east co-ordinate,Integer,"whole numbers, for example the age of a participant on a particular date",100072,Early life factors,-1,Location could not be mapped,1
,132,Job code at visit - entered,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100073,Employment,NA,NA,NA
,134,Number of self-reported cancers,Integer,"whole numbers, for example the age of a participant on a particular date",100074,Medical conditions,NA,NA,NA
,135,Number of self-reported non-cancer illnesses,Integer,"whole numbers, for example the age of a participant on a particular date",100074,Medical conditions,NA,NA,NA
,136,"Number of operations, self-reported",Integer,"whole numbers, for example the age of a participant on a particular date",100076,Operations,NA,NA,NA
,137,Number of treatments/medications taken,Integer,"whole numbers, for example the age of a participant on a particular date",100075,Medications,NA,NA,NA
,189,Townsend deprivation index at recruitment,Continuous,"floating-point numbers, for example the height of a participant",100094,Baseline characteristics,NA,NA,NA
,190,Reason lost to follow-up,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",2,Ongoing characteristics,1|2|3|4|5,Death reported to UK Biobank by a relative|NHS records indicate they are lost to follow-up|NHS records indicate they have left the UK|UK Biobank sources report they have left the UK|Participant has withdrawn consent for future linkage,5
,191,Date lost to follow-up,Date,"a calendar date, for example 14th October 2010",2,Ongoing characteristics,NA,NA,NA
,200,Date of consenting to join UK Biobank,Date,"a calendar date, for example 14th October 2010",100023,Consent,NA,NA,NA
